,Date,Open,High,Low,Close,Volume,MarketCap,UnitVolume,Rolling20D
107,20190129,3468.87,3476.07,3400.82,3448.12,5897159493,60371874099,1710.253556,1525.204939
106,20190130,3443.9,3495.17,3429.39,3486.18,5955112627,61044262622,1708.205723,1517.189114
105,20190131,3485.41,3504.8,3447.92,3457.79,5831198271,60553903927,1686.394567,1526.405003
104,20190201,3460.55,3501.95,3431.59,3487.95,5422926707,61088747491,1554.760449,1538.890644
103,20190202,3484.63,3523.29,3467.57,3521.06,5071623601,61675119055,1440.368412,1545.029972
102,20190203,3516.14,3521.39,3447.92,3464.01,5043937584,60681847608,1456.09787,1541.589476
101,20190204,3467.21,3476.22,3442.59,3459.15,5332718886,60603083461,1541.626956,1542.415243
100,20190205,3454.95,3478.15,3451.94,3466.36,5227549545,60735563490,1508.080391,1544.023881
99,20190206,3469.09,3469.09,3398.57,3413.77,5482196038,59821158612,1605.906677,1550.045309
98,20190207,3414.93,3427.95,3394.22,3399.47,5004962683,59578075991,1472.27735,1555.272345
97,20190208,3401.38,3695.61,3391.02,3666.78,7735623101,64270269953,2109.650184,1580.88923
96,20190209,3671.59,3679.94,3646.56,3671.2,6158833645,64354732475,1677.60777,1587.256788
95,20190210,3673.2,3695.04,3640.98,3690.19,6282256903,64694025951,1702.420987,1602.407129
94,20190211,3695.61,3695.61,3642.29,3648.43,6277056434,63968390250,1720.481532,1614.72465
93,20190212,3642.75,3668.59,3618.56,3653.53,6480384532,64063755250,1773.732399,1627.629209
92,20190213,3653.6,3669.75,3617.25,3632.07,6438903823,63694394519,1772.791775,1643.191054
91,20190214,3631.17,3646.26,3607.7,3616.88,6271044418,63434486052,1733.82706,1656.740963
90,20190215,3617.37,3647.8,3608.21,3620.81,6091952231,63509111125,1682.483265,1670.105378
89,20190216,3615.27,3652.84,3615.27,3629.79,5934744052,63673369195,1635.010304,1674.138265
88,20190217,3633.36,3680.54,3619.18,3673.84,7039512503,64453368779,1916.118422,1670.404783
87,20190218,3671.37,3936.67,3669.98,3915.71,9908216640,68704389994,2530.375498,1711.41088
86,20190219,3911.66,4010.88,3908.15,3947.09,9933626655,69262673238,2516.696264,1751.835407
85,20190220,3946.68,4000.49,3926.25,3999.82,8693373948,70194350042,2173.441292,1776.187743
